geo,TIME_PERIOD,OBS_VALUE,label_variation,prob_aumento,prob_diminuzione,prob_stabile
ES,2021,8.5,diminuzione,0.0,0.8,0.2
ES,2023,2.4,diminuzione,0.0,0.9,0.1
FI,2017,0.2,diminuzione,0.0,0.5,0.5
FI,2018,2.3,aumento,1.0,0.0,0.0
FI,2019,1.1,diminuzione,0.0,0.7,0.3
FI,2020,-0.3,diminuzione,0.0,1.0,0.0
FI,2021,5.5,diminuzione,0.0,0.8,0.2
FI,2023,3.0,diminuzione,0.0,0.8,0.2
FR,2017,2.5,aumento,1.0,0.0,0.0
FR,2017,2.5,stabile,0.0,0.7,0.3
FR,2017,2.6,stabile,0.2,0.0,0.8
FR,2018,2.9,stabile,0.7,0.0,0.3
FR,2018,2.9,stabile,0.0,0.0,1.0
FR,2018,2.9,stabile,0.0,0.7,0.3
FR,2019,1.8,diminuzione,0.0,0.7,0.3
FR,2019,1.8,stabile,0.0,0.7,0.3
FR,2019,2.0,stabile,0.0,0.0,1.0
FR,2020,1.4,diminuzione,0.0,0.2,0.8
FR,2020,1.4,stabile,0.0,0.2,0.8
FR,2020,1.4,stabile,0.0,0.1,0.9
FR,2023,3.3,aumento,0.9,0.0,0.1
FR,2023,3.3,stabile,0.0,0.3,0.7
GR,2017,2.5,aumento,1.0,0.0,0.0
GR,2017,2.5,stabile,0.0,0.7,0.3
GR,2017,2.6,stabile,0.2,0.0,0.8
GR,2018,2.9,stabile,0.7,0.0,0.3
GR,2018,2.9,stabile,0.0,0.0,1.0
GR,2018,2.9,stabile,0.0,0.7,0.3
GR,2019,1.8,diminuzione,0.0,0.7,0.3
GR,2019,1.8,stabile,0.0,0.7,0.3
GR,2019,2.0,stabile,0.0,0.0,1.0
GR,2020,1.4,diminuzione,0.0,0.2,0.8
GR,2020,1.4,stabile,0.0,0.2,0.8
GR,2020,1.4,stabile,0.0,0.1,0.9
GR,2023,3.3,aumento,0.9,0.0,0.1
GR,2023,3.3,stabile,0.0,0.3,0.7
HR,2017,2.5,aumento,1.0,0.0,0.0
HR,2017,2.6,stabile,0.9,0.0,0.1
HR,2018,2.9,stabile,0.7,0.0,0.3
HR,2018,2.9,stabile,0.0,0.0,1.0
HR,2019,1.8,diminuzione,0.0,0.7,0.3
HR,2019,2.0,stabile,0.7,0.0,0.3
HR,2020,1.4,diminuzione,0.0,0.4,0.6
HR,2020,1.4,stabile,0.0,0.2,0.8
HR,2023,3.3,aumento,0.8,0.0,0.2
HU,2017,7.0,aumento,1.0,0.0,0.0
HU,2018,5.3,diminuzione,0.0,0.9,0.1
HU,2019,9.9,aumento,1.0,0.0,0.0
HU,2020,10.9,stabile,1.0,0.0,0.0
HU,2022,12.4,stabile,0.6,0.0,0.4
IE,2017,2.5,aumento,1.0,0.0,0.0
IE,2017,2.5,stabile,0.0,0.7,0.3
IE,2017,2.6,stabile,0.2,0.0,0.8
IE,2018,2.9,stabile,0.7,0.0,0.3
IE,2018,2.9,stabile,0.0,0.0,1.0
IE,2018,2.9,stabile,0.0,0.7,0.3
IE,2019,1.8,diminuzione,0.0,0.7,0.3
IE,2019,1.8,stabile,0.0,0.7,0.3
IE,2019,2.0,stabile,0.0,0.0,1.0
IE,2020,1.4,diminuzione,0.0,0.2,0.8
IE,2020,1.4,stabile,0.0,0.2,0.8
IE,2020,1.4,stabile,0.0,0.1,0.9
IE,2023,3.3,aumento,0.9,0.0,0.1
IE,2023,3.3,stabile,0.0,0.3,0.7
IT,2017,0.5,aumento,0.8,0.0,0.2
IT,2018,1.4,aumento,0.9,0.0,0.1
IT,2019,0.5,diminuzione,0.0,0.5,0.5
IT,2020,0.5,stabile,0.0,0.6,0.4
IT,2021,4.0,aumento,1.0,0.0,0.0
LT,2017,4.2,aumento,0.9,0.0,0.1
LT,2018,3.5,diminuzione,0.0,0.2,0.8
LT,2019,4.9,aumento,0.6,0.0,0.4
LT,2020,2.0,diminuzione,0.0,1.0,0.0
LT,2021,6.6,aumento,1.0,0.0,0.0
LT,2023,7.2,stabile,1.0,0.0,0.0
LU,2017,2.5,aumento,1.0,0.0,0.0
LU,2017,2.5,stabile,0.0,0.7,0.3
LU,2017,2.6,stabile,0.2,0.0,0.8
LU,2018,2.9,stabile,0.7,0.0,0.3
LU,2018,2.9,stabile,0.0,0.0,1.0
LU,2018,2.9,stabile,0.0,0.7,0.3
LU,2019,1.8,diminuzione,0.0,0.7,0.3
LU,2019,1.8,stabile,0.0,0.7,0.3
LU,2019,2.0,stabile,0.0,0.0,1.0
LU,2020,1.4,diminuzione,0.0,0.2,0.8
LU,2020,1.4,stabile,0.0,0.2,0.8
LU,2020,1.4,stabile,0.0,0.1,0.9
LU,2023,3.3,aumento,0.9,0.0,0.1
LU,2023,3.3,stabile,0.0,0.3,0.7
LV,2017,2.4,diminuzione,0.0,0.9,0.1
LV,2018,4.5,aumento,1.0,0.0,0.0
LV,2019,4.8,stabile,0.8,0.0,0.2
LV,2020,7.3,aumento,1.0,0.0,0.0
LV,2021,6.8,stabile,0.0,0.5,0.5
LV,2022,13.3,aumento,1.0,0.0,0.0
LV,2023,4.7,diminuzione,0.0,0.8,0.2
MK,2017,5.0,diminuzione,0.0,0.5,0.5
MK,2018,6.0,aumento,0.8,0.0,0.2
MK,2019,2.6,diminuzione,0.0,1.0,0.0
MK,2020,1.1,diminuzione,0.0,1.0,0.0
MK,2021,13.1,aumento,0.9,0.0,0.1
MK,2023,9.4,diminuzione,0.0,0.8,0.2
MT,2017,1.6,diminuzione,0.0,0.9,0.1
MT,2018,1.2,diminuzione,0.0,0.7,0.3
MT,2019,1.0,diminuzione,0.0,0.5,0.5
MT,2020,0.3,diminuzione,0.0,0.9,0.1
MT,2023,-0.3,diminuzione,0.0,1.0,0.0
NL,2017,2.1,aumento,0.9,0.0,0.1
NL,2018,2.6,aumento,0.9,0.0,0.1
NL,2019,2.9,stabile,0.9,0.0,0.1
NL,2020,2.1,diminuzione,0.0,0.6,0.4
NL,2021,4.5,aumento,0.7,0.0,0.3
NL,2023,5.8,aumento,1.0,0.0,0.0
NO,2017,2.4,diminuzione,0.0,0.2,0.8
NO,2018,3.2,aumento,0.3,0.0,0.7
NO,2019,2.6,diminuzione,0.0,0.5,0.5
NO,2020,2.4,stabile,0.0,0.7,0.3
NO,2023,4.4,aumento,0.8,0.0,0.2
PL,2017,2.6,aumento,1.0,0.0,0.0
PL,2018,2.9,stabile,0.9,0.0,0.1
PL,2019,2.0,diminuzione,0.0,0.3,0.7
PL,2020,1.4,diminuzione,0.0,0.8,0.2
PT,2017,1.9,aumento,0.9,0.0,0.1
PT,2018,2.3,aumento,0.8,0.0,0.2
PT,2019,2.3,stabile,0.0,0.0,1.0
PT,2020,2.1,stabile,0.0,0.0,1.0
PT,2021,6.5,aumento,1.0,0.0,0.0
PT,2023,3.8,diminuzione,0.0,0.9,0.1
SE,2017,2.7,aumento,0.9,0.0,0.1
SE,2018,4.0,aumento,0.7,0.0,0.3
SE,2019,2.7,diminuzione,0.0,0.6,0.4
SE,2020,-0.1,diminuzione,0.0,0.8,0.2
SE,2021,6.3,diminuzione,0.0,0.9,0.1
SE,2023,4.2,diminuzione,0.0,0.8,0.2
SI,2017,4.7,diminuzione,0.0,0.4,0.6
SI,2018,2.7,diminuzione,0.0,0.9,0.1
SI,2019,3.1,stabile,0.7,0.0,0.3
SI,2020,1.2,diminuzione,0.0,1.0,0.0
SI,2021,10.7,aumento,1.0,0.0,0.0
SI,2022,14.4,aumento,1.0,0.0,0.0
SI,2023,7.3,diminuzione,0.0,0.9,0.1
SK,2017,2.5,aumento,1.0,0.0,0.0
SK,2017,2.5,stabile,0.0,0.7,0.3
SK,2017,2.6,stabile,0.2,0.0,0.8
SK,2018,2.9,stabile,0.7,0.0,0.3
SK,2018,2.9,stabile,0.0,0.0,1.0
SK,2018,2.9,stabile,0.0,0.7,0.3
SK,2019,1.8,diminuzione,0.0,0.7,0.3
SK,2019,1.8,stabile,0.0,0.7,0.3
SK,2019,2.0,stabile,0.0,0.0,1.0
SK,2020,1.4,diminuzione,0.0,0.2,0.8
SK,2020,1.4,stabile,0.0,0.2,0.8
SK,2020,1.4,stabile,0.0,0.1,0.9
SK,2023,3.3,aumento,0.9,0.0,0.1
SK,2023,3.3,stabile,0.0,0.3,0.7
